,,,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,
,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,
,,,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,,,,,,,,,,,
                                     Расписание учебных занятий для 9 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 9 классов                           ,,,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,,,
,,9а,каб,9е,каб,9и,каб,,,,,9э,каб,9ю,каб,9я,каб,,
понедельник,
,1,Разговоры о важном,309,Разговоры о важном,211,Разговоры о важном,214,1,понедельник,понедельник,1,Разговоры о важном,304,Разговоры о важном,318,Разговоры о важном,219,1,понедельник
,2,Литература,212,Алгебра,313,Физика,301,2,,,2,География,209,ОБЗР,118,Физическая культура,с/з,2,
,3,Вероятность и статистика,316,Труд (технология),219,Химия,305,3,,,3,Физика,304,Физическая культура,с/з,ОБЗР,118,3,
,4,Обществознание,101,Физика,304,Информатика,302,4,,,4,ОБЗР,118,Алгебра,310,История,104,4,
,5,История,101,ОБЗР,118,Физическая культура,с/з,5,,,5,Русский язык,214,Физика,301,Литература,210,5,
,6,Английский язык,314/318,Химия,305,Алгебра,310,6,,,6,Обществознание,101,Биология,306,Русский язык,210,6,
,7,Русский язык,211,История,103,Труд (технология),219,7,,,7,Вероятность и статистика,316,Английский язык,220/318,Вероятность и статистика,310,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
вторник,
,1,Химия,305,Биология,306,Алгебра,310,1,вторник,вторник,1,История,103,Русский язык,212,Русский язык,210,1,вторник
,2,Геометрия,316,Алгебра,313,Русский язык,214,2,,,2,Биология,306,Английский язык,119/318,Химия,305,2,
,3,Физика,301,Русский язык,211,ОБЗР,118,3,,,3,Химия,305,Труд (технология),219,Алгебра,316,3,
,4,Информатика,302,Физическая культура,с/з,Обществознание,101,4,,,4,Английский язык,314/318,Химия,305,Геометрия,316,4,
,5,Физическая культура,с/з,История,103,Английский язык,314/318,5,,,5,Алгебра,316,Информатика,302,Английский язык,319/320,5,
,6,Английский язык,314/318,География,209,Литература,214,6,,,6,Литература,210,Геометрия,310,Физика,301,6,
,7,Алгебра,316,Английский язык,318/319,История,103,7,,,7,Физика,304,Литература,212,Труд (технология),219,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
среда,
,1,Биология,306,Физическая культура,с/з,Геометрия,310,1,среда,среда,1,Алгебра,316,Физика,301,Информатика,302,1,среда
,2,Русский язык,211,Физика,304,История,103,2,,,2,Информатика,302,Вероятность и статистика,310,География,209,2,
,3,Физика,301,Информатика,302,Вероятность и статистика,310,3,,,3,Английский язык,318/319,География,209,Алгебра,316,3,
,4,Алгебра,316,Геометрия,313,Русский язык,214,4,,,4,Физическая культура,с/з,Русский язык,212,Обществознание,101,4,
,5,История,101,Литература,211,Биология,306,5,,,5,Литература,210,Литература,212,Физика,301,5,
,6,Русский язык,211,Английский язык,318/319,Русский язык,214,6,,,6,Геометрия,316,Алгебра,310,Русский язык,210,6,
,7,Физическая культура,с/з,Вероятность и статистика,313,Литература,214,7,,,7,Труд (технология),219,Геометрия,310,Биология,306,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
четверг,
,1,Россия - мои горизонты,309,Россия - мои горизонты,211,Россия - мои горизонты,214,1,четверг,четверг,1,Россия - мои горизонты,304,Россия - мои горизонты,318,Россия - мои горизонты,219,1,четверг
,2,Физика,301,Русский язык,211,Английский язык,314/318,2,,,2,Русский язык,214,История,103,Английский язык,319/209,2,
,3,Литература,212,Геометрия,313,Алгебра,310,3,,,3,География,209,Обществознание,101,Физическая культура,с/з,3,
,4,География,309,Английский язык,318/319,Литература,214,4,,,4,Геометрия,316,Биология,306,Литература,210,4,
,5,Геометрия,316,География,209,Физическая культура,с/з,5,,,5,Английский язык,311/318,Химия ,305,Физика,301,5,
,6,Английский язык,314/318,Химия ,305,Физика,301,6,,,6,Родной рус. язык,311,Литература,212,Геометрия,316,6,
,7,Труд (технология),219,Родная (рус./чув.) литература,211/204,География,209,7,,,7,Физика,304,Родная (рус./чув.) литература,212/204,Родная (рус./чув.) литература,210/204,7,
,8, Биология (Кванториум),,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
пятница,
,1,ОБЗР,118,Обществознание,101,Химия,305,1,пятница,пятница,1,Биология,306,Алгебра,310,География,209,1,пятница
,2,Алгебра,316,Физика,304,Биология,306,2,,,2,Русский язык,214,Физика,301,История,104,2,
,3,Литература,212,Русский язык,211,Геометрия,310,3,,,3,Литература,210,Англйиский язык,112/318,Химия,305,3,
,4,Химия,305,Алгебра,313,Физика,301,4,,,4,История,103,География,209,Алгебра,316,4,
,5,Биология,306,Литература,211,География,209,5,,,5,Алгебра,316,Физическая культура,с/з,Литература,210,5,
,6,География,309,Биология,306,Английский язык,314/318,6,,,6,Физическая культура,с/з,Русский язык,212,Английский язык,119/319,6,
,7,Родной (рус./чув.) язык,317/204,Литература,211,Родная (рус./чув.) литература,214/204,7,,,7,Химия,305,История,103,Биология,306,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,35,,35,,35,,,,,,35,,35,,35,,,